x,y,z,Spindle power/W,Cutting power/W
122.861,167.464,24.058,312.597648,193.652352
122.032,166.884,24.031,312.597648,193.652352
122.032,166.884,24.031,307.617168,188.671872
121.019,166.467,24.002,307.617168,188.671872
121.019,166.467,24.002,299.121072,180.175776
120.034,166.227,23.975,299.121072,180.175776
120.034,166.227,23.975,305.85936,186.914064
118.93,166.212,23.946,305.85936,186.914064
118.93,166.212,23.946,315.234384,196.289088
117.938,166.421,23.919,315.234384,196.289088
117.938,166.421,23.919,298.535136,179.58984
116.919,166.819,23.89,298.535136,179.58984
116.919,166.819,23.89,307.031232,188.085936
116.046,167.34,23.864,307.031232,188.085936
116.046,167.34,23.864,307.031232,188.085936
115.27,168.125,23.835,307.031232,188.085936
115.27,168.125,23.835,304.101552,185.156256
114.708,168.965,23.808,304.101552,185.156256
114.708,168.965,23.808,306.738288,187.792992
114.261,169.965,23.78,306.738288,187.792992
114.261,169.965,23.78,304.687488,185.742192
114.019,170.954,23.753,304.687488,185.742192
114.019,170.954,23.753,304.98048,186.035184
114,172.056,23.724,304.98048,186.035184
114,172.056,23.724,310.253904,191.308608
114.215,173.049,23.697,310.253904,191.308608
114.215,173.049,23.697,302.0508,183.105504
114.615,174.067,23.669,302.0508,183.105504
114.615,174.067,23.669,299.121072,180.175776
115.135,174.939,23.642,299.121072,180.175776
115.135,174.939,23.642,308.203104,189.257808
115.91,175.725,23.612,308.203104,189.257808
115.91,175.725,23.612,300,181.054704
116.753,176.285,23.586,300,181.054704
116.753,176.285,23.586,299.707008,180.761712
117.752,176.731,23.557,299.707008,180.761712
117.752,176.731,23.557,298.828128,179.882832
118.739,176.983,23.53,298.828128,179.882832
118.739,176.983,23.53,291.21096,172.265664
119.842,176.975,23.502,291.21096,172.265664
119.842,176.975,23.502,297.07032,178.125024
120.834,176.787,23.475,297.07032,178.125024
120.834,176.787,23.475,295.605456,176.66016
121.865,176.411,23.446,295.605456,176.66016
121.865,176.411,23.446,284.472672,165.527376
122.722,175.868,23.419,284.472672,165.527376
122.722,175.868,23.419,293.261712,174.316416
123.52,175.105,23.391,293.261712,174.316416
123.52,175.105,23.391,298.828128,179.882832
124.079,174.259,23.364,298.828128,179.882832
124.079,174.259,23.364,299.121072,180.175776
124.524,173.26,23.335,299.121072,180.175776
124.524,173.26,23.335,301.464864,182.519568
124.779,172.276,23.308,301.464864,182.519568
124.779,172.276,23.308,309.667968,190.722672
124.781,171.172,23.279,309.667968,190.722672
124.781,171.172,23.279,298.535136,179.58984
124.59,170.179,23.252,298.535136,179.58984
124.59,170.179,23.252,299.707008,180.761712
124.206,169.154,23.223,299.707008,180.761712
124.206,169.154,23.223,302.92968,183.984384
123.683,168.279,23.197,302.92968,183.984384
123.683,168.279,23.197,303.808608,184.863312
122.902,167.503,23.168,303.808608,184.863312
122.902,167.503,23.168,301.757808,182.812512
122.081,166.912,23.141,301.757808,182.812512
122.081,166.912,23.141,296.191392,177.246096
121.073,166.482,23.113,296.191392,177.246096
121.073,166.482,23.113,299.414064,180.468768
120.09,166.228,23.086,299.414064,180.468768
120.09,166.228,23.086,303.515616,184.57032
118.986,166.212,23.057,303.515616,184.57032
118.986,166.212,23.057,307.031232,188.085936
117.993,166.406,23.03,307.031232,188.085936
117.993,166.406,23.03,301.171872,182.226576
116.968,166.791,23.001,301.171872,182.226576
116.968,166.791,23.001,301.757808,182.812512
116.089,167.305,22.974,301.757808,182.812512
116.089,167.305,22.974,308.496096,189.5508
115.31,168.084,22.945,308.496096,189.5508
115.31,168.084,22.945,299.414064,180.468768
114.736,168.916,22.919,299.414064,180.468768
114.736,168.916,22.919,306.152352,187.207056
114.274,169.91,22.89,306.152352,187.207056
114.274,169.91,22.89,307.324224,188.378928
114.032,170.899,22.864,307.324224,188.378928
114.032,170.899,22.864,303.222672,184.277376
114,171.999,22.834,303.222672,184.277376
114,171.999,22.834,314.355456,195.41016
114.201,172.994,22.808,314.355456,195.41016
